Judul,Sub Judul,No. ISBN,Penulis,Jumlah Halaman,Berat Buku,Jenis Cover,Isi,Dimensi (L x P),Harga,Deskripsi,URL,Thumbnail URL
Menggali Sejarah Pengobatan,Mulai dari dokter kuno zaman Firaun sampai pembangunan genetik temuan baru,979-9143-85-3,John Hudson Tiner,232 halaman,300 gram,soft cover,HVS 70,"14,5x21  cm", Rp. 45.000,"Sir J.Y. Simpson—peneliti anestesi bersaksi, “Tuhan tidak menyukai rasa sakit. Ingat, bagaimana Tuhan mengambil rusuk Adam untuk membentuk Hawa.”

Inilah yang disajikan dalam buku ini. Tentang temuan-temuan besar dalam bidang pengobatan—sejak zaman kuno hingga zaman mutakhir. Jadi, di sini pembaca akan berkenalan dengan Dr. Imhotep—orang Mesir—dokter pertama di dunia.

Kemudian “Bapak Ilmu Kedokteran” Hipokrates, yang menyusun tata karma “Sumpah Dokter”.

Lalu Dr. Ambroise Pare yang teknik bedahnya sangat popular. Sebagai dokter ia berkata, “Saya mengobati. Tuhan menyembuhkan.”

Sementara itu ilmu pengobatan pun makin canggih. Antoni Van Leeuwenhoek berhasil membuat mikroskop. Saintis pun makin mantap dengan berhasilnya Wilhelm Rontgen menemukan sinar-x.

Dan selanjutnya dokter generasi berikutnya menemukan karya-karya baru. Di antaranya Dr. C.R. Drew, pelopor transfuse darah. Kemudian muncul Dr. Christian Barnard yang berhasil mentransplantasi jantung.

Jadi, membaca buku “Menggali Sejarah Pengobatan” ini sama dengan menyaksikan realitas di sekitar kita. Sebab, kita—mau tidak mau—harus terlibat dalam proses pengobatan itu sendiri.

Itulah yang menarik bila membaca buku ini. Mudah dimengerti. Sangat menolong bagi para dokter, tenaga medis, dosen, mahasiswa, dan orang tua—terutama ibu-ibu yang senantiasa siap membina anak tercinta yang kekasih.",http://www.penerbitbinakasih.com/44-buku-menggali-sejarah-pengobatan-.html,http://www.penerbitbinakasih.com/images/products/product_44.jpg
Misionaris Lokal,Menjadi Kristen berarti menjadi saudara yang serba kasih bagi masyarakatnya,979-9143-87-X,K.M.L. Tobing,108 halaman,90 gram,soft cover,HVS 70,11x18 cm, Rp. 22.000,"KLEOPAS—sang pendeta, merasa harus me­nebang satu pohon angker.  Tapi ia harus meng­hadapi ular besar—penghuni pohon angker itu.
Ular besar!  Sangat berbisa.  Sangat ber­bahaya.  Ular besar itu pasti dapat melilit, me­matuk, dan meremukkan Pendeta Kleopas seketika.
Tapi pohon angker itu harus ditebang.  Sebab menebangnya berarti membasmi ke­berhalaan dan menyatakan kemahakuasaan Tuhan.
Itulah pergumulan Pendeta Kleopas.  Apakah ia akan maju menentang bahaya maut ular berbisa untuk membasmi keberhalaan?  Atau, apakah ia akan bersikap masa bodoh, bersantai-santai di tengah-tengah keberhalaan?
Beberapa kali Pendeta Kleopas diperhadap­kan pada soal-soal yang teramat pelik.  Se­mentara itu, sebagai pendeta putra pribumi, ia merasa wajib melayankan Berita Keselamat­an, sekaligus meningkatkan kecerdasan ma­sya­rakat­nya.
Itulah pergumulan Pendeta Kleopas, yang membuat riwayat hidupnya ini khas dan menarik.",http://www.penerbitbinakasih.com/54-buku-misionaris-lokal-.html,http://www.penerbitbinakasih.com/images/products/product_54.jpg
Perjalanan Musafir,-,979-9143-26-8,L.J. Caunter,262 halaman,300 gram,soft cover,HVS 70,"14,5x21  cm", Rp. 55.000,"Kisah petualangan yang sangat mendebarkan. Seru, seram, tapi sangat mengharukan. Membaca buku ini seperti menyaksikan sendiri peristiwa yang dialami oleh tokoh Musafir. Cerita ini telah diterjemahkan ke dalam ratusan bahasa. Karena itu, penting kita baca.",http://www.penerbitbinakasih.com/43-buku-perjalanan-musafir-.html,http://www.penerbitbinakasih.com/images/products/product_43.jpg
Sampah Menjadi Persembahan,-,979-9143-57-6,Ria Zebua,156 halaman,110 gram,soft cover,HVS 70,11x18 cm, Rp. 44.000,"Orang Manobo, penduduk Desa Taguangu, di Filipina, dianggap sampah oleh semua desa tetangganya. Sebab, Taguangu memang istana pemalas, sarang pemabuk, penjudi, dan pembunuh. Tidak mungkin desa itu menghasilkan sesuatu yang baik.
Pasrah, segelintir orang percaya berdoa agar Tuhan mengutus misionaris ke Taguangu.
Pada saat itu, Ria Zebua, gadis desa Pulau Nias, menerima panggilan Tuhan untuk pergi memberitakan kabar keselamatan kepada orang Manobo. Tapi ke Desa Taguangu¾desa sampah, sarang penjahat itu? Dan bagaimana mungkin gadis Nias bisa menjadi misionaris? Pasti banyak kendala¾bahkan terlalu banyak dan teramat berat.
Buku ini menceritakan bagaimana Tuhan mempertemukan Ria Zebua dengan orang Manobo, penduduk Desa Taguangu.  Dan bagaimana Tuhan melakukan hal-hal yang kita sendiri menganggapnya mustahil.
Membaca buku ini berarti menyaksikan dampak dari kesetiaan dan ketulusan berdoa.  Pengalaman sejati yang patut kita teladani, apalagi zaman ini.",http://www.penerbitbinakasih.com/47-buku-sampah-menjadi-persembahan-.html,http://www.penerbitbinakasih.com/images/products/product_47.jpg
John Bunyan,Riwayat penulis buku Perjalanan Musafir,979-9143-65-9,William Deal,196 halaman,230 gram,soft cover,HVS 70,"14,5x21  cm", Rp. 40.000,"John Bunyan, anak tukang patri miskin. Ketika kecil ia sering dihantui rasa berdosa dan selalu gelisah akan keselamatan jiwanya. Setelah dewasa barulah ia yakin dosanya sudah diampuni. Sejak itu semangatnya memberitakan Injil kepada semua orang tidak pernah berhenti.
Kesusahan dan persoalan hidup menerpanya bertubi-tubi, tapi kesetiaannya kepada Tuhan tetap. Bahkan saat ia dipenjara, karena dilarang berkhotbah, ia terus memberitakan Injil dengan menulis buku. Salah satu bukunya yang terkenal ialah “Pilgrim’s Progress” (Perjalanan Musafir), sudah diterjemahkan ke dalam ratusan bahasa di seluruh dunia.
Kisah ini mengharukan, menantang, sekaligus menguatkan pembaca dalam menjalani kehidupan kristiani sekarang dan masa datang.",http://www.penerbitbinakasih.com/48-buku-john-bunyan-.html,http://www.penerbitbinakasih.com/images/products/product_48.jpg
Pantang Menyerah,Kemustahilan keok oleh kemauan berkarya,979-9143-22-5,Phillip Rushing,280 halaman,200 gram,soft cover,HVS 70,11x18 cm, Rp. 25.000,"Bud Doggy—sang jagoan. Jagoan serba ambisi. Bila perlu, ambisinya ia lampiaskan dengan kehebatan kedua kepalan tinjunya. Kedua tangannya ampuh dan perkasa.
Tapi tiba-tiba kedua tangannya hangus tersengat listrik. Harus dipotong tepat di kedua pangkal lengannya. Dan sekujur tubuhnya juga tersengat. Gosong.
Kini segala keperkasaannya sirna. Sirna bersama kebanggaannya. Dan setiap detik perputaran waktu baginya adalah siksaan. Derita! Maha kejam, maha menghina.
Tapi ambisinya dan semangatnya berpijar. Bagaikan pijaran arus listrik. Ia bertekad harus berkarya, sebagai pribadi yang utuh.
Kobaran tekad dan semangatnya itu mengobarkan semangat pembaca untuk berkarya.",http://www.penerbitbinakasih.com/49-buku-pantang-menyerah.html,http://www.penerbitbinakasih.com/images/products/product_49.jpg
Jubah Kuning,Pertarungan seorang pemuda dengan mengorbankan segala-galanya,979-9143-31-4,Cyril J. Davey,126 halaman,100 gram,soft cover,HVS 70,11x18 cm, Rp. 30.000,"Masyarakat Kristen India tidak mendirikan sekali pun sepotong tugu untuk mengenang “SADHU SUNDAR SINGH” tokoh Kristen India yang serba misterius. Tidak seorang pun dapat memastikan di mana hilangnya Sadhu itu. Dugaan ia terjatuh ke ngarai curam, atau sesat di jalan-jalan setapak belantara India Utara, atau mati martir di bumi Tibet yang serba rahasia dan tertutup itu, atau dia menjadi petapa atau mungkin seperti Elia diangkat ke surga, atau ….
Kemisterian hidupnya, kebulatan tekadnya, dan kekhasan kekristenannya yang dipersembahkan dalam buku ini, akan menjadikan sidang pembaca merasakan, betapa buku ini juga turut berperan sebagai tugu peringatan, dari mana seolah dapat didengar deru-derap langkah Sundar Singh yang kadang-kadang menderam mengejutkan, kadang-kadang syahdu memukau.",http://www.penerbitbinakasih.com/51-buku-jubah-kuning.html,http://www.penerbitbinakasih.com/images/products/product_51.jpg
Para Ilmuwan Mempercayai Ilahi,KOSONG,979-9143-16-0,Ann Lamont,308 halaman,350 gram,soft cover,HVS 70,"14,5x21  cm", Rp. 45.000,"Ilmuwan kimia terkemuka Robert Boyle berkata, ""Dengan mengetahui karya Ilahi, kita makin mengenal Dia. 
Senada dengan itu, ilmuwan piawai  Louis Pasteur berkata, ""Ilmu membawa manusia lebih dekat kepada Allah."" 
Kenapa?                                                                                                            
 ""Karena""--demikian ilmuwan piawai lainnya, Matthew Maury--""Alkitab benar dan ilmu juga benar.""                                                                        
Disamping ketiga ilmuwan piawai itu, masih banyak ilmuwan mutakhir lainnya. Benar-benar mempercayai Alkitab, justru karena ilmu yang mereka dalami. 
Buku ini membuka wawasan baru. Lebih daripada itu. Menopang dan menyegarkan keyakinan sidang pembaca. Bahkan menggugah sidang pembaca menyadari, betapa ilmu mengukuhkan Alkitab mutlak benar.",http://www.penerbitbinakasih.com/46-buku-para-ilmuwan-mempercayai-ilahi-.html,http://www.penerbitbinakasih.com/images/products/product_46.jpg
Anakku Karunia Tuhan?,Kisah kasih seorang ibu berputra difabel,978-602-8009-31-7,Irma Koswara,152 halaman,120 gram,soft cover,HVS 70,13x18 cm, Rp. 48.000,"Buku ini memperlihatkan kisah pergumulan seorang ibu yang berupaya mengubah pertanyaan ""Anakku Karunia Tuhan?"" menjadi pernyataan syukur ""Anakku Karunia Tuhan!""
Apa yang seharusnya menjadi hari terindah dalam hidup kami berubah menjadi seperti upacara pemakaman. Tahun-tahun pertama merupakan saat-saat terberat. Ada rasa marah, bersalah, kecewa, sedih, dan putus asa. Semua bercampur jadi satu...dan sebagai 'pemula' dalam kehidupan macam begini, aku seringkali tak tahu harus berbuat apa untuk mengatasinya. Kini kusadari, tidak ada yang dapat menggantikanku untuk menjalani jalan yang disediakan untukku...selain diriku sendiri.... Dan hanya dalam perjalanan yang berisi kekecewaan, kesulitan, dan kesedihan, aku baru bisa merasakan dan memahami arti kasih, dukungan, dan penghiburan Tuhan kepadaku....
Buku yang akan menguatkan sesama orang tua dari para difabel (anak berkebutuhan khusus), juga setiap orang yang ingin memahami pergulatan dan perjuangan hidup mereka.",http://www.penerbitbinakasih.com/61-buku-anakku-karunia-tuhan%3F-.html,http://www.penerbitbinakasih.com/images/products/product_61.jpg
Antusiasme,Novel Perjuangan Seorang Penulis Meraih Mimpi,978-602-8009-53-9,Fida R. Abbott,450 halaman,380 gram,soft cover,HVS 70,"14,5 x 21 cm cm", Rp. 75.000,"Pinacle Book Achievment Award yang disematkan pada buku Antusiasme adalah penghargaan atas upaya Fida R. Abbott menerbitkan bukunya sendiri di belantara pasar buku di negeri Paman Sam tahun 2010. Bagaimana perjuangannya untuk self publishing di sana? Justru novel ini sendirilah yang menjawabnya dengan mengisahkan prosesnya - dari secuil gagasan, memanfaatkan berbagai kesempatan, jatuh bangun, hingga jadi buku. 
Fida lahir di Surabaya, menikah dan tinggal di Amerika Serikat bersama suami dan anaknya. Kendala bahasa, kesibukan bekerja paruh waktu dan mengurus rumah tangga sehari-hari tidak mematahkan semangatnya untuk berkarya. Novelnya membawa pesan kuat kepada setiap pembaca “milikilah antusiasme agar mimpimu tercapai”. Jelas, ini  sumber inspirasi bagi para perempuan sibuk – baik sebagai ibu rumah tangga maupun pekerja profesional – yang memiliki kerinduan untuk menuangkan pemikiran dan karyanya ke dalam tulisan. Entah berupa gagasan brilian untuk tanah air, pembelajaran dalam berkeluarga, membesarkan anak, cerita anak, atau sekadar pengalaman merenovasi rumah dan ramuan resep masakan. 
Harapan Fida, novel ini memacu para ibu masa kini untuk berkarya dalam bentuk tulisan – yang mungkin saja melampaui zaman seperti yang Kartini lakukan. Maka pantaslah jika tahun lalu buku ini menjadi pemenang sebagai salah satu dari 50 buku yang mesti dibaca (para ibu) menurut versi TheAuthorShow.com.
 
Tonton wawancara TheAuthorShow.com dengan Fida",http://www.penerbitbinakasih.com/213-buku-antusiasme.html,http://www.penerbitbinakasih.com/images/products/product_213.jpg
